,eng,mani
0,in chapter 3 arjun said lord,ꯑꯙ꯭ꯌꯥꯌ ꯳ꯗꯥ ꯑꯔꯖꯨꯅꯅꯥ ꯍꯥꯌꯈꯤ ꯚꯒꯕꯥꯟ꯫
1,why do you cast me into dreadful acts when you believe that the way of knowledge is superior,ꯂꯧꯁꯤꯡꯒꯤ ꯂꯝꯕꯤ ꯑꯁꯤ ꯍꯦꯟꯅꯥ ꯐꯩ ꯍꯥꯌꯅꯥ ꯊꯥꯖꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯀꯔꯤꯒꯤ ꯑꯩꯕꯨ ꯑꯀꯤꯕꯥ ꯄꯣꯀꯍꯅꯕꯥ ꯊꯕꯀꯁꯤꯡꯗꯥ ꯊꯥꯗꯣꯀꯄꯤꯔꯤꯕꯅꯣ꯫
2,he found the way of knowledge easier to practice for this way assures heavenly life in the event of defeat and the state of ultimate glory in that of victory,ꯃꯍꯥꯛꯅꯥ ꯂꯧꯁꯤꯡꯒꯤ ꯂꯝꯕꯤ ꯑꯁꯤ ꯆꯠꯅꯍꯅꯕꯗꯥ ꯍꯦꯟꯅꯥ ꯂꯥꯌꯕꯥ ꯎꯈꯤ ꯃꯔꯃꯗꯤ ꯃꯁꯤꯒꯤ ꯃꯑꯣꯡ ꯑꯁꯤꯅꯥ ꯃꯥꯏꯊꯤꯕꯥ ꯄꯤꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯁ꯭ꯕꯔꯒꯒꯤ ꯄꯨꯟꯁꯤ ꯑꯃꯁꯨꯡ ꯃꯥꯏꯄꯥꯀꯄꯒꯤ ꯑꯔꯣꯏꯕꯥ ꯃꯁꯛ ꯊꯣꯀꯄꯥ ꯐꯤꯚꯝ ꯑꯗꯨ ꯊꯥꯖꯕꯥ ꯄꯤꯔꯤ꯫
3,so there is profit in both success and failure,ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯃꯥꯌ ꯄꯥꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯃꯥꯌ ꯄꯥꯀꯄꯥ ꯑꯅꯤꯃꯛꯇꯥ ꯀꯥꯟꯅꯕꯥ ꯂꯩ꯫
4,but by now he understands well that action a prerequisite of both the ways,ꯑꯗꯨꯕꯨ ꯍꯧꯖꯤꯛ ꯐꯥꯑꯣꯕꯗꯥ ꯃꯍꯥꯛꯅꯥ ꯐꯖꯅꯥ ꯈꯉꯂꯦ ꯃꯗꯨꯗꯤ ꯑꯦꯛꯁꯟ ꯑꯁꯤ ꯂꯝꯕꯤ ꯑꯅꯤꯃꯛꯀꯤ ꯃꯊꯧ ꯇꯥꯕꯥ ꯑꯃꯅꯤ꯫
5,krishn has also urged him to rid himself of doubts and take refuge in seer because is the only source of the awareness he seeks,ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯆꯤꯡꯅꯕꯥ ꯂꯩꯍꯟꯗꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯁꯦꯔꯗꯥ ꯉꯥꯀꯄꯤꯅꯕꯥ ꯍꯥꯌꯖꯈ꯭ꯔꯦ ꯃꯔꯃꯗꯤ ꯃꯍꯥꯛꯅꯥ ꯊꯤꯔꯤꯕꯥ ꯑꯦꯋꯦꯌꯔꯅꯦꯁꯀꯤ ꯑꯃꯠꯇꯥ ꯉꯥꯏꯔꯕꯥ ꯁꯣꯔꯁꯅꯤ꯫
6,however before he chooses one of the two ways arjun makes a humble submission,ꯑꯗꯨꯝ ꯑꯣꯏꯅꯃꯛ ꯃꯍꯥꯛꯅꯥ ꯂꯝꯕꯤ ꯑꯅꯤꯗꯨꯒꯤ ꯃꯅꯨꯡꯗꯥ ꯑꯃꯕꯨ ꯈꯅꯗ꯭ꯔꯤꯉꯩ ꯃꯃꯥꯡꯗꯥ ꯑꯔꯖꯨꯅꯅꯥ ꯏꯆꯝ ꯆꯝꯕꯥ ꯁꯕꯃꯤꯁꯟ ꯑꯃꯥ ꯇꯧꯏ꯫
7,arjun said you have so far commended o krishn both the way of knowledge through renunciation and then the way of selfless action so now tell me which one of the two is decidedly more propitious,ꯑꯔꯖꯨꯟꯅꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯅꯍꯥꯛꯅꯥ ꯍꯧꯖꯤꯛ ꯐꯥꯑꯣꯕꯗꯥ ꯑꯣ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯕꯨ ꯔꯤꯟꯌꯨꯑꯦꯁꯅꯒꯤ ꯈꯨꯠꯊꯥꯡꯗꯥ ꯂꯧꯁꯤꯡꯒꯤ ꯂꯝꯕꯤ ꯑꯃꯁꯨꯡ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯃꯁꯥꯒꯤ ꯑꯣꯏꯖꯕꯥ ꯊꯤꯗꯅꯥ ꯊꯕꯛ ꯇꯧꯕꯒꯤ ꯂꯝꯕꯤ ꯑꯅꯤꯃꯛ ꯊꯥꯒꯠꯈ꯭ꯔꯦ ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯍꯧꯖꯤꯛ ꯑꯩꯉꯣꯟꯗꯥ ꯍꯥꯌꯕꯤꯌꯨ ꯑꯅꯤꯗꯨꯒꯤ ꯃꯅꯨꯡꯗꯥ ꯀꯅꯥꯅꯥ ꯂꯦꯞꯄꯥ ꯂꯩꯇꯅꯥ ꯍꯦꯟꯅꯥ ꯐꯕꯥ ꯑꯣꯏꯔꯤꯕꯅꯣ |
8,lord krishn has extolled action by the way of knowledge through renunciation and then he has spoken approvingly of action done with a selfless attitude,ꯚꯒꯕꯥꯟ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯅꯥ ꯔꯤꯟꯌꯨꯑꯦꯁꯅꯒꯤ ꯈꯨꯠꯊꯥꯡꯗꯥ ꯖ꯭ꯅꯥꯅꯒꯤ ꯂꯝꯕꯤꯅꯥ ꯊꯕꯛ ꯇꯧꯕꯥ ꯊꯥꯒꯠꯈꯤ ꯑꯃꯁꯨꯡ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯃꯍꯥꯛꯅꯥ ꯃꯁꯥꯒꯤ ꯑꯣꯏꯖꯕꯥ ꯊꯤꯗꯅꯥ ꯇꯧꯕꯥ ꯊꯕꯛꯀꯤ ꯃꯇꯥꯡꯗꯥ ꯑꯌꯥꯕꯥ ꯄꯤꯗꯨꯅꯥ ꯋꯥ ꯉꯥꯡꯈꯤ꯫
9,so now wishes to be enlightened on the specific way which well considered view more conducive to his well being,ꯑꯗꯨꯅꯥ ꯍꯧꯖꯤꯛ ꯃꯍꯥꯛꯀꯤ ꯌꯥꯏꯐꯅꯕꯥ ꯍꯦꯟꯅꯥ ꯀꯥꯟꯅꯕꯥ ꯑꯣꯏꯅꯥ ꯌꯥꯝꯅꯥ ꯐꯖꯅꯥ ꯈꯟꯅꯔꯕꯥ ꯃꯤꯠꯌꯦꯡ ꯑꯗꯨ ꯑꯀꯛꯅꯕꯥ ꯃꯑꯣꯡ ꯑꯗꯨꯗꯥ ꯃꯉꯥꯜ ꯄꯤꯕꯥ ꯄꯥꯝꯃꯤ꯫
